OBJECTID,SubmitterOrganization,SubmitterPerson,Collector,InstitutionCode,CollectionCode,BasisOfRecord,CatalogNumber,Source,Genus,SubGenus,Species,ScientificName,IdentifiedBy,IdentificationMethod,VerbatimCollectingDate,TimeCollected,DecimalLatitude,EarliestDateCollected,LatestDateCollected,DecimalLongitude,CoordinateUncertaintyInMeters,Country,StateProvince,County,Locality,VerbatimCoordinates,VerbatimLatitude,VerbatimLongitude,IndividualCount,Sex,LifeStage,Remarks,CollectingMethod,LarvalHabitatType,AssociatedParasite,NumberParasitePositive,IdentificationMethodForParasite,NumberSpecimensParasiteTested,ParasiteTestedBy,EarliestYearCollected,EarliestMonthCollected,x,y
1558903,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,2019NOR09-0531.08,Human observation, ,GEIS P0031_19_GA_06.01 - VBD,Aedes, , ,Aedes spp.,T. chunashvili,DNA,31-May-19,1131,41.752172,5/31/2019 12:00:00 AM,5/31/2019 12:00:00 AM,45.0079,31,Georgia,Kvemo Kartli,Gardabani,Norio Training Area,"41.7521723329402, 45.0079001113772",41.75217233,45.00790011,1,Female,Adult,"9;  Dry Ice;  UV Bulb; between smoking tents close to barracks; Temperature 23.5*; Humidity 57*; Fay-Prince Trap - CDC; Urban, Village or Military Base Housing","Adult, with attraction traps", ,0,0, , , ,2019,5,45.0079000000001,41.7521720000001
1558904,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19NOR02-0531.04,Human observation, ,GEIS P0031_19_GA_06.01 - VBD,Aedes, , ,Aedes spp.,T. chunashvili,DNA,31-May-19,1200,41.75444,5/31/2019 12:00:00 AM,5/31/2019 12:00:00 AM,45.007073,31,Georgia,Kvemo Kartli,Gardabani,Norio Training Area,"41.7544398457516, 45.0070732092411",41.75443985,45.00707321,1,Female,Adult,"2;  Dry Ice;  Incandescent; at the north end of a soccer field, on a tree; Temperature 23.5*; Humidity 57*; Stealth Trap - JW Hock; Urban, Village or Military Base Housing","Adult, with attraction traps", ,0,0, , , ,2019,5,45.007073,41.75444
1561763,USAMRD-G,MAJ Drew Reinbold-Wasson,"TC, IS",USAMRD-G,21SEN02-0521.01,Human observation,2122; N2/Ento 2; 21-03; C7,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,TC,Morphology,5/21/2021 to 6/2/2021, ,42.238942,6/1/2021 12:00:00 AM,5/21/2021 12:00:00 AM,42.036054,31,Georgia,Samegrelo-Zemo Svaneti,Senaki,Senaki; Second Infantry Brigade,"42.23894176, 42.03605376",42.23894176,42.03605376,1,Female,Adult,BG Sentinel 2; Trap Number 2; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,42.036054,42.2389420000001
1561764,USAMRD-G,MAJ Drew Reinbold-Wasson,"TC, IS",USAMRD-G,21SEN06-0521.01,Human observation,2122; N2/Ento 2; 21-04; D2,GEIS ProMIS ID P0008_21_GA,Aedes,Stegomyia,albopictus,Aedes (Stg.) albopictus,TC,Morphology,5/21/2021 to 6/2/2021, ,42.246347,6/1/2021 12:00:00 AM,5/21/2021 12:00:00 AM,42.042903,31,Georgia,Samegrelo-Zemo Svaneti,Senaki,Senaki; Second Infantry Brigade,"42.24634749, 42.04290312",42.24634749,42.04290312,2,Female,Adult,BG Sentinel 2; Trap Number 6; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,42.0429030000001,42.2463470000001
1561765,USAMRD-G,MAJ Drew Reinbold-Wasson,"TC, IS",USAMRD-G,21SEN06-0521.02,Human observation,2122; N2/Ento 2; 21-04; D3,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,TC,Morphology,5/21/2021 to 6/2/2021, ,42.246347,6/1/2021 12:00:00 AM,5/21/2021 12:00:00 AM,42.042903,31,Georgia,Samegrelo-Zemo Svaneti,Senaki,Senaki; Second Infantry Brigade,"42.24634749, 42.04290312",42.24634749,42.04290312,7,Female,Adult,BG Sentinel 2; Trap Number 6; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,42.0429030000001,42.2463470000001
1561766,USAMRD-G,MAJ Drew Reinbold-Wasson,"TC, IS",USAMRD-G,21SEN06-0521.03,Human observation,2122; N2/Ento 2; 21-04; D4,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,TC,Morphology,5/21/2021 to 6/2/2021, ,42.246347,6/1/2021 12:00:00 AM,5/21/2021 12:00:00 AM,42.042903,31,Georgia,Samegrelo-Zemo Svaneti,Senaki,Senaki; Second Infantry Brigade,"42.24634749, 42.04290312",42.24634749,42.04290312,2,Female,Adult,BG Sentinel 2; Trap Number 6; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,42.0429030000001,42.2463470000001
1561767,USAMRD-G,MAJ Drew Reinbold-Wasson,"TC, IS",USAMRD-G,21SEN04-0521.01,Human observation,2122; N2/Ento 2; 21-03; C9,GEIS ProMIS ID P0008_21_GA,Aedes,Stegomyia,albopictus,Aedes (Stg.) albopictus,TC,Morphology,5/21/2021 to 6/2/2021, ,42.246693,6/1/2021 12:00:00 AM,5/21/2021 12:00:00 AM,42.043382,31,Georgia,Samegrelo-Zemo Svaneti,Senaki,senaki; Second Infantry Brigade,"42.24669273, 42.04338156",42.24669273,42.04338156,5,Female,Adult,Multifunctiol Mosquito Trap (MMT); Trap Number 4; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,42.0433820000001,42.2466930000001
1561768,USAMRD-G,MAJ Drew Reinbold-Wasson,"TC, IS",USAMRD-G,21SEN04-0521.02,Human observation,2122; N2/Ento 2; 21-03; D1,GEIS ProMIS ID P0008_21_GA,Aedes,Stegomyia,albopictus,Aedes (Stg.) albopictus,TC,Morphology,5/21/2021 to 6/2/2021, ,42.246693,6/1/2021 12:00:00 AM,5/21/2021 12:00:00 AM,42.043382,31,Georgia,Samegrelo-Zemo Svaneti,Senaki,senaki; Second Infantry Brigade,"42.24669273, 42.04338156",42.24669273,42.04338156,2,Male,Adult,Multifunctiol Mosquito Trap (MMT); Trap Number 4; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,42.0433820000001,42.2466930000001
1561769,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK,TC,IS",USAMRD-G,21GOR04-0603.01,Human observation,2122; N2/Ento 2; 21-04; G5,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/3/2021 to 6/5/2021, ,42.004574,6/3/2021 12:00:00 AM,6/5/2021 12:00:00 AM,44.105332,31,Georgia,Shida Kartli,Gori,Gori; First Infantry Brigade,"42.0045741375237, 44.1053317487239",42.00457414,44.10533175,4,Female,Adult,Multifunctiol Mosquito Trap (MMT); Trap Number 4; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,44.105332,42.004574
1561770,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK,TC,IS",USAMRD-G,21GOR12-0603.01,Human observation,2122; N2/Ento 2; 21-04; H6,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/3/2021 to 6/15/2021, ,42.012712,6/3/2021 12:00:00 AM,6/15/2021 12:00:00 AM,44.095778,31,Georgia,Shida Kartli,Gori,Gori; Gori Military Academy,"42.0127122997367, 44.0957777202129",42.0127123,44.09577772,6,Female,Adult,BG Sentinel 2; Trap Number 12; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,44.0957780000001,42.0127120000001
1561771,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK,TC, IS",USAMRD-G,21GOR09-0603.01,Human observation,2122; N2/Ento 2; 21-04; H3,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/3/2021 to 6/15/2021, ,42.008037,6/3/2021 12:00:00 AM,6/15/2021 12:00:00 AM,44.098727,31,Georgia,Shida Kartli,Gori,Gori; Eleventh Infantry Battalion,"42.0080366022489, 44.0987271443009",42.0080366,44.09872714,2,Female,Adult,BG Sentinel 2; Trap Number 9; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,44.0987270000001,42.0080370000001
1561772,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK,TC, IS",USAMRD-G,21GOR09-0603.02,Human observation,2122; N2/Ento 2; 21-04; H4,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/3/2021 to 6/15/2021, ,42.008037,6/3/2021 12:00:00 AM,6/15/2021 12:00:00 AM,44.098727,31,Georgia,Shida Kartli,Gori,Gori; Eleventh Infantry Battalion,"42.0080366022489, 44.0987271443009",42.0080366,44.09872714,1,Male,Adult,BG Sentinel 2; Trap Number 9; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,44.0987270000001,42.0080370000001
1561773,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, IS",USAMRD-G,21GOR04-0604.01,Human observation,2122; N2/Ento 2; 21-04; I4,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/4/2021 to 6/15/2021, ,42.004518,6/4/2021 12:00:00 AM,6/15/2021 12:00:00 AM,44.105391,31,Georgia,Shida Kartli,Gori,Gori; First Infantry Brigade,"42.0045178316763, 44.1053907573223",42.00451783,44.10539076,2,Female,Adult,Multifunctiol Mosquito Trap (MMT); Trap Number 4; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,44.1053910000001,42.0045180000001
1561774,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK,IS",USAMRD-G,21GOR12-0604.01,Human observation,2122; N2/Ento 2; 21-05; A5,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/4/2021 to 6/15/2021, ,42.012728,6/4/2021 12:00:00 AM,6/15/2021 12:00:00 AM,44.095783,31,Georgia,Shida Kartli,Gori,Gori; Gori Military Academy,"42.0127284918155, 44.0957830846309",42.01272849,44.09578308,36,Female,Adult,BG Sentinel 2; Trap Number 12; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,44.095783,42.012728
1561775,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK,IS",USAMRD-G,21GOR12-0604.02,Human observation,2122; N2/Ento 2; 21-05; A6,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/4/2021 to 6/15/2021, ,42.012728,6/4/2021 12:00:00 AM,6/15/2021 12:00:00 AM,44.095783,31,Georgia,Shida Kartli,Gori,Gori; Gori Military Academy,"42.0127284918155, 44.0957830846309",42.01272849,44.09578308,35,Female,Adult,BG Sentinel 2; Trap Number 12; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,44.095783,42.012728
1561776,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR03-0701.01,Human observation,2122; N2/Ento 2; 21-06,GEIS ProMIS ID P0008_21_GA,Aedes,Stegomyia,albopictus,Aedes (Stg.) albopictus,GK,Morphology,6/30/2021 to 7/1/2021, ,41.750718,6/30/2021 12:00:00 AM,7/1/2021 12:00:00 AM,45.008675,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.7507175792057, 45.0086745992303",41.75071758,45.0086746,5,Female,Adult,BG Sentinel 2; Trap Number 3; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,45.008675,41.7507180000001
1561777,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR03-0701.02,Human observation,2122; N2/Ento 2; 21-06,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/30/2021 to 7/1/2021, ,41.750718,6/30/2021 12:00:00 AM,7/1/2021 12:00:00 AM,45.008675,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.7507175792057, 45.0086745992303",41.75071758,45.0086746,30,Female,Adult,BG Sentinel 2; Trap Number 3; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,45.008675,41.7507180000001
1561778,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR03-0701.03,Human observation,2122; N2/Ento 2; 21-06,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/30/2021 to 7/1/2021, ,41.750718,6/30/2021 12:00:00 AM,7/1/2021 12:00:00 AM,45.008675,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.7507175792057, 45.0086745992303",41.75071758,45.0086746,30,Female,Adult,BG Sentinel 2; Trap Number 3; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,45.008675,41.7507180000001
1561779,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR03-0701.04,Human observation,2122; N2/Ento 2; 21-06,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/30/2021 to 7/1/2021, ,41.750718,6/30/2021 12:00:00 AM,7/1/2021 12:00:00 AM,45.008675,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.7507175792057, 45.0086745992303",41.75071758,45.0086746,30,Female,Adult,BG Sentinel 2; Trap Number 3; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,45.008675,41.7507180000001
1561780,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR03-0701.05,Human observation,2122; N2/Ento 2; 21-06,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/30/2021 to 7/1/2021, ,41.750718,6/30/2021 12:00:00 AM,7/1/2021 12:00:00 AM,45.008675,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.7507175792057, 45.0086745992303",41.75071758,45.0086746,27,Female,Adult,BG Sentinel 2; Trap Number 3; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,45.008675,41.7507180000001
1561781,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR03-0701.06,Human observation,2122; N2/Ento 2; 21-06,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/30/2021 to 7/1/2021, ,41.750718,6/30/2021 12:00:00 AM,7/1/2021 12:00:00 AM,45.008675,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.7507175792057, 45.0086745992303",41.75071758,45.0086746,6,Male,Adult,BG Sentinel 2; Trap Number 3; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,45.008675,41.7507180000001
1561782,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR04-0701.01,Human observation,2122; N2/Ento 2; 21-06,GEIS ProMIS ID P0008_21_GA,Aedes,Stegomyia,albopictus,Aedes (Stg.) albopictus,GK,Morphology,6/30/2021 to 7/1/2021, ,41.751415,6/30/2021 12:00:00 AM,7/1/2021 12:00:00 AM,45.008155,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.75141476, 45.00815507",41.75141476,45.00815507,1,Female,Adult,Multifunctiol Mosquito Trap (MMT); Trap Number 4; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,45.008155,41.7514150000001
1561783,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR04-0701.02,Human observation,2122; N2/Ento 2; 21-06,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,6/30/2021 to 7/1/2021, ,41.751415,6/30/2021 12:00:00 AM,7/1/2021 12:00:00 AM,45.008155,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.75141476, 45.00815507",41.75141476,45.00815507,6,Female,Adult,Multifunctiol Mosquito Trap (MMT); Trap Number 4; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,6,45.008155,41.7514150000001
1561784,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR04-0702.01,Human observation,2122; N2/Ento 2; 21-07,GEIS ProMIS ID P0008_21_GA,Aedes,Stegomyia,albopictus,Aedes (Stg.) albopictus,GK,Morphology,7/2/2021 to 7/13/2021, ,41.75126,7/13/2021 12:00:00 AM,7/2/2021 12:00:00 AM,45.00802,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.75125979, 45.00802028",41.75125979,45.00802028,1,Female,Adult,Multifunctiol Mosquito Trap (MMT); Trap Number 4; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,7,45.00802,41.7512600000001
1561785,USAMRD-G,MAJ Drew Reinbold-Wasson,tc is,USAMRD-G,21VAZ07-0702.01,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,7/2/2021 to 7/13/2021, ,41.633761,7/13/2021 12:00:00 AM,7/2/2021 12:00:00 AM,45.048913,31,Georgia,Kvemo Kartli, ,Tbilisi; Vaziani Military Base,"41.6337611293049, 45.0489134341478",41.63376113,45.04891343,4,Female,Adult,Multifunctiol Mosquito Trap (MMT); Trap Number 7; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,7,45.0489130000001,41.633761
1561786,USAMRD-G,MAJ Drew Reinbold-Wasson,tc is,USAMRD-G,21VAZ07-0702.02,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,7/2/2021 to 7/13/2021, ,41.633761,7/13/2021 12:00:00 AM,7/2/2021 12:00:00 AM,45.048913,31,Georgia,Kvemo Kartli, ,Tbilisi; Vaziani Military Base,"41.6337611293049, 45.0489134341478",41.63376113,45.04891343,1,Male,Adult,Multifunctiol Mosquito Trap (MMT); Trap Number 7; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,7,45.0489130000001,41.633761
1561787,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR06-0702.01,Human observation,2122; N2/Ento 2; 21-07,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,7/2/2021 to 7/13/2021, ,41.752078,7/13/2021 12:00:00 AM,7/2/2021 12:00:00 AM,45.007972,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.75207779, 45.00797225",41.75207779,45.00797225,1,Female,Adult,CDC Light Trap; Trap Number 6; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,7,45.0079720000001,41.752078
1561788,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR02-0702.01,Human observation,2122; N2/Ento 2; 21-07,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,7/2/2021 to 7/13/2021, ,41.751292,7/13/2021 12:00:00 AM,7/2/2021 12:00:00 AM,45.008922,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.7512921308285, 45.0089220330119",41.75129213,45.00892203,1,Female,Adult,BG Pro; Trap Number 2; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,7,45.008922,41.751292
1561789,USAMRD-G,MAJ Drew Reinbold-Wasson,tc is,USAMRD-G,21VAZ02-0702.01,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Aedes,Stegomyia,albopictus,Aedes (Stg.) albopictus,GK,Morphology,7/2/2021 to 7/13/2021, ,41.675493,7/13/2021 12:00:00 AM,7/2/2021 12:00:00 AM,45.061328,31,Georgia,Kvemo Kartli, ,Tbilisi; Vaziani Military Base,"41.6754925044205, 45.0613283738494",41.6754925,45.06132837,3,Female,Adult,BG Sentinel 2; Trap Number 2; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,7,45.0613280000001,41.6754930000001
1561790,USAMRD-G,MAJ Drew Reinbold-Wasson,tc is,USAMRD-G,21VAZ02-0702.02,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,7/2/2021 to 7/13/2021, ,41.675493,7/13/2021 12:00:00 AM,7/2/2021 12:00:00 AM,45.061328,31,Georgia,Kvemo Kartli, ,Tbilisi; Vaziani Military Base,"41.6754925044205, 45.0613283738494",41.6754925,45.06132837,33,Female,Adult,BG Sentinel 2; Trap Number 2; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,7,45.0613280000001,41.6754930000001
1561791,USAMRD-G,MAJ Drew Reinbold-Wasson,tc is,USAMRD-G,21VAZ02-0702.03,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Aedes,Stegomyia,albopictus,Aedes (Stg.) albopictus,GK,Morphology,7/2/2021 to 7/13/2021, ,41.675493,7/13/2021 12:00:00 AM,7/2/2021 12:00:00 AM,45.061328,31,Georgia,Kvemo Kartli, ,Tbilisi; Vaziani Military Base,"41.6754925044205, 45.0613283738494",41.6754925,45.06132837,1,Male,Adult,BG Sentinel 2; Trap Number 2; Dry Ice; BG Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,7,45.0613280000001,41.6754930000001
1561792,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR08-0702.01,Human observation,2122; N2/Ento 2; 21-07,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,7/2/2021 to 7/13/2021, ,41.751405,7/13/2021 12:00:00 AM,7/2/2021 12:00:00 AM,45.009085,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.7514049394461, 45.0090849772095",41.75140494,45.00908498,4,Female,Adult,CDC Light Trap; Trap Number 8; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,7,45.0090850000001,41.751405
1561793,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh",USAMRD-G,21NOR08-0702.02,Human observation,2122; N2/Ento 2; 21-07,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,7/2/2021 to 7/13/2021, ,41.751405,7/13/2021 12:00:00 AM,7/2/2021 12:00:00 AM,45.009085,31,Georgia,Kvemo Kartli, ,Tbilisi; Norio Training Area,"41.7514049394461, 45.0090849772095",41.75140494,45.00908498,1,Male,Adult,CDC Light Trap; Trap Number 8; No Lure; No Light,"Adult, with attraction traps", ,0,0, , , ,2021,7,45.0090850000001,41.751405
1561794,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh, IS",USAMRD-G,21AKH05-0715.01,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Aedes,Aedimoprhus,vexans,Aedes (Adm.) vexans,GK,Morphology,7/15/2021 to 7/28/2021, ,41.635705,7/28/2021 12:00:00 AM,7/15/2021 12:00:00 AM,42.995271,31,Georgia,Samtskhe-Javakheti,Akhaltsikhe,Akhaltsikhe; First Infantry Brigade,"41.63570466, 42.99527055",41.63570466,42.99527055,1,Female,Adult,BG Sentinel 2; Trap Number 5; Dry Ice; BG Lure,"Adult, with attraction traps", ,0,0, , , ,2021,7,42.9952710000001,41.6357050000001
1561795,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh, IS",USAMRD-G,21AKH05-0715.02,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,7/15/2021 to 7/28/2021, ,41.635705,7/28/2021 12:00:00 AM,7/15/2021 12:00:00 AM,42.995271,31,Georgia,Samtskhe-Javakheti,Akhaltsikhe,Akhaltsikhe; First Infantry Brigade,"41.63570466, 42.99527055",41.63570466,42.99527055,23,Female,Adult,BG Sentinel 2; Trap Number 5; Dry Ice; BG Lure,"Adult, with attraction traps", ,0,0, , , ,2021,7,42.9952710000001,41.6357050000001
1561796,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh, IS",USAMRD-G,21AKH05-0715.03,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Culiseta, , ,Culiseta spp.,GK,Morphology,7/15/2021 to 7/28/2021, ,41.635705,7/28/2021 12:00:00 AM,7/15/2021 12:00:00 AM,42.995271,31,Georgia,Samtskhe-Javakheti,Akhaltsikhe,Akhaltsikhe; First Infantry Brigade,"41.63570466, 42.99527055",41.63570466,42.99527055,1,Male,Adult,BG Sentinel 2; Trap Number 5; Dry Ice; BG Lure,"Adult, with attraction traps", ,0,0, , , ,2021,7,42.9952710000001,41.6357050000001
1561797,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh, IS",USAMRD-G,21AKH06-0715.01,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Culex,Culex,pipiens,Culex (Cux.) pipiens,GK,Morphology,7/15/2021 to 7/28/2021, ,41.637914,7/28/2021 12:00:00 AM,7/15/2021 12:00:00 AM,42.996774,31,Georgia,Samtskhe-Javakheti,Akhaltsikhe,Akhaltsikhe; First Infantry Brigade,"41.6379139844614, 42.9967740923166",41.63791398,42.99677409,1,Female,Adult,BG Pro; Trap Number 6; Dry Ice; BG Lure,"Adult, with attraction traps", ,0,0, , , ,2021,7,42.9967740000001,41.6379140000001
1561798,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh, IS",USAMRD-G,21ORP08-0715.01,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Aedes,Stegomyia,albopictus,Aedes (Stg.) albopictus,GK,Morphology,7/15/2021 to 7/28/2021, ,41.649266,7/28/2021 12:00:00 AM,7/15/2021 12:00:00 AM,43.11158,31,Georgia,Samtskhe-Javakheti,Akhaltsikhe,Minadze; Orpholo Training Area,"41.64926574, 43.11158027",41.64926574,43.11158027,1,Female,Adult,BG Pro; Trap Number 8; Dry Ice; BG Lure; Windy,"Adult, with attraction traps", ,0,0, , , ,2021,7,43.1115800000001,41.6492660000001
1561799,USAMRD-G,MAJ Drew Reinbold-Wasson,"GK, ASh, IS",USAMRD-G,21ORP08-0715.02,Human observation,2122; N2/Ento 2; 21-08,GEIS ProMIS ID P0008_21_GA,Aedes,Ochlerotatus,caspius,Aedes (Och.) caspius,GK,Morphology,7/15/2021 to 7/28/2021, ,41.649266,7/28/2021 12:00:00 AM,7/15/2021 12:00:00 AM,43.11158,31,Georgia,Samtskhe-Javakheti,Akhaltsikhe,Minadze; Orpholo Training Area,"41.64926574, 43.11158027",41.64926574,43.11158027,1,Female,Adult,BG Pro; Trap Number 8; Dry Ice; BG Lure; Windy,"Adult, with attraction traps", ,0,0, , , ,2021,7,43.1115800000001,41.6492660000001
